id,email,name,address,grade,tnp,twp,tt,nf,fo,mo,fq,mq,arr,attendance %,ias,fee_late,teacher_rating,previous_visits,assignment,assignment_due_date,assignment_submitted,summary_self_check_in,ge
1112,sushma8@school.com,Sushma Khadka,Ghorahi,12,95,91,0.76,11,Retired,Retired,Degree,10,N,88.06,81,Paid,5,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","17/02/2023 00:59:59,12/03/2023 20:59:59,02/04/2023 09:59:59,23/04/2023 19:59:59","I'm feeling stable, and Chemistry is just another task.",M
1113,sandeep6@school.com,Sandeep Magar,Birgunj,12,50,67,1.83,10,Retired,Housewife,Degree,Degree,Y,83.45,47,Paid,2,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","15/02/2023 16:59:59,13/03/2023 07:59:59,31/03/2023 02:59:59,21/04/2023 14:59:59","To be fair, I'm lonely because Mathematics is causing me some anxiety.",F
1114,shrinkhala5@school.com,Shrinkhala Shrestha,Butwal,12,81,56,0.26,5,Service,Retired,Degree,10,Y,55.6,21,Paid,3,6,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","25/02/2023 20:59:59,17/03/2023 21:59:59,06/04/2023 15:59:59,03/05/2023 21:59:59","Lately, I've been unmotivated because Biology is hard to keep up with.",F
1115,sushma9@school.com,Sushma Khatiwada,Dhangadhi,10,91,69,1.16,11,Business,Business,12,Degree,Y,48.45,31,Paid,5,9,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","23/02/2023 09:59:59,19/03/2023 10:59:59,07/04/2023 04:59:59,28/04/2023 23:59:59","To be fair, I'm burnt out because Physics is causing me some anxiety.",M
1116,shilpa7@school.com,Shilpa Basnet,Lalitpur,9,91,87,0.77,15,Retired,Service,Degree,Degree,N,94.36,81,Overdue,5,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 02:59:59,10/03/2023 21:59:59,01/04/2023 14:59:59,17/04/2023 21:59:59","Things are a bit tired, and Biology is part of my routine.",M
1117,sunil6@school.com,Sunil Pathak,Ghorahi,9,98,95,0.78,3,Service,Retired,10,Degree,Y,70.65,63,Paid,5,3,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","16/02/2023 19:59:59,12/03/2023 06:59:59,31/03/2023 04:59:59,15/04/2023 07:59:59","Currently, I'm isolated because Biology is stressing me out.",M
1118,arpan8@school.com,Arpan Gurung,Itahari,11,13,20,1.66,2,Farmer,Others,PG,10,Y,78.36,88,Paid,3,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","17/02/2023 14:59:59,07/03/2023 12:59:59,29/03/2023 10:59:59,26/04/2023 15:59:59","Lately, I've been isolated because Biology is where I'm struggling the most.",F
1119,saugat9@school.com,Saugat Shrestha,Pokhara,12,66,83,0.83,14,Business,Others,Degree,IL,N,66.71,85,Paid,4,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","12/02/2023 05:59:59,07/03/2023 04:59:59,28/03/2023 16:59:59,22/04/2023 19:59:59","Mostly steady, and Chemistry is moving along.",M
1120,aayush6@school.com,Aayush Rai,Lalitpur,10,26,53,0.71,16,Business,Service,IL,PG,Y,67.99,29,Paid,4,1,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 07:59:59,05/03/2023 15:59:59,30/03/2023 06:59:59,15/04/2023 18:59:59",I'm feeling anxious because Chemistry is taking up all my energy.,F
1121,rajesh5@school.com,Rajesh Khadka,Birgunj,9,79,16,0.58,2,Retired,Service,IL,Degree,Y,93.06,25,Paid,2,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 14:59:59,12/03/2023 05:59:59,27/03/2023 18:59:59,17/04/2023 12:59:59",I'm feeling low because English is too much right now.,M
1122,shilpa8@school.com,Shilpa Shrestha,Janakpur,9,86,52,1.75,20,Farmer,Business,Degree,PG,Y,57.69,40,Overdue,4,8,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","22/02/2023 04:59:59,25/03/2023 01:59:59,11/04/2023 04:59:59,29/04/2023 16:59:59","Lately, I've been distracted because Nepali is too much right now.",F
1123,saugat10@school.com,Saugat Baniya,Janakpur,10,100,90,1.49,4,Service,Service,UM,UM,N,94.85,83,Paid,1,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","14/02/2023 02:59:59,06/03/2023 03:59:59,31/03/2023 00:59:59,21/04/2023 11:59:59","Mostly neutral, and Physics is moving along.",F
1124,sunil7@school.com,Sunil KC,Bharatpur,11,84,86,0.91,19,Service,Business,12,Degree,Y,81.96,80,Paid,5,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","14/02/2023 23:59:59,12/03/2023 07:59:59,31/03/2023 14:59:59,26/04/2023 13:59:59","To be fair, I'm anxious because English is confusing for me.",F
1125,namrata6@school.com,Namrata Shrestha,Hetauda,10,21,53,1.5,12,Business,Retired,IL,PG,N,97.27,94,Paid,3,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","14/02/2023 08:59:59,08/03/2023 02:59:59,01/04/2023 18:59:59,16/04/2023 15:59:59","I'm happy, and Chemistry is my favorite part of the week.",M
1126,swastima12@school.com,Swastima Malla,Bharatpur,9,30,29,0.29,9,Service,Service,IL,UM,Y,87.13,87,Overdue,5,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","15/02/2023 20:59:59,11/03/2023 01:59:59,30/03/2023 17:59:59,20/04/2023 14:59:59","Lately, I've been burnt out because Nepali is stressing me out.",M
1127,sunil8@school.com,Sunil Adhikari,Janakpur,10,97,98,0.62,16,Farmer,Others,IL,PG,N,90.27,85,Paid,1,2,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","18/02/2023 12:59:59,07/03/2023 22:59:59,27/03/2023 05:59:59,18/04/2023 16:59:59","Doing alright, and Physics is following the plan.",M
1128,namrata7@school.com,Namrata Karki,Pokhara,10,72,76,0.59,3,Other,Retired,IL,Degree,Y,93.59,74,Overdue,2,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 14:59:59,04/03/2023 10:59:59,31/03/2023 11:59:59,15/04/2023 01:59:59","Lately, I've been unmotivated because Chemistry is taking up all my energy.",M
1129,namrata8@school.com,Namrata Gurung,Dharan,11,38,41,0.41,15,Other,Business,10,12,N,90.92,77,Paid,1,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","13/02/2023 21:59:59,09/03/2023 09:59:59,31/03/2023 23:59:59,22/04/2023 11:59:59","Things are steady, and Physics is taking standard effort.",M
1130,bipin3@school.com,Bipin Raut,Birgunj,11,87,47,1.59,13,Other,Housewife,12,UM,Y,97.12,1,Overdue,3,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","17/02/2023 04:59:59,09/03/2023 04:59:59,30/03/2023 00:59:59,21/04/2023 04:59:59","Lately, I've been hopeless because Physics is confusing for me.",F
1131,rekha3@school.com,Rekha Paudel,Pokhara,10,88,92,1.54,3,Business,Service,PG,10,N,92.23,87,Paid,2,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","16/02/2023 14:59:59,08/03/2023 12:59:59,31/03/2023 06:59:59,21/04/2023 09:59:59","Genuinely passionate, and Chemistry is manageable.",M
1132,sushma10@school.com,Sushma KC,Ghorahi,11,44,8,1.52,11,Business,Retired,PG,Degree,Y,96.14,68,Paid,4,1,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","16/02/2023 09:59:59,09/03/2023 05:59:59,03/04/2023 17:59:59,24/04/2023 02:59:59",I'm feeling disinterested because Physics is confusing for me.,M
1133,aayush7@school.com,Aayush Khadka,Pokhara,11,19,56,1.96,18,Other,Retired,Degree,UM,N,95.61,19,Paid,1,1,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","13/02/2023 05:59:59,07/03/2023 16:59:59,04/04/2023 12:59:59,21/04/2023 21:59:59","Currently, I'm irritable because Biology is stressing me out.",M
1134,shrinkhala6@school.com,Shrinkhala Baniya,Hetauda,9,96,48,1.82,15,Farmer,Service,10,12,N,90.03,95,Paid,5,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","14/02/2023 02:59:59,14/03/2023 05:59:59,29/03/2023 22:59:59,19/04/2023 15:59:59","I'm resilient, and Nepali is better than I thought.",F
1135,sushma11@school.com,Sushma Hamal,Lalitpur,12,78,91,1.12,17,Retired,Housewife,12,Degree,Y,70.1,97,Overdue,4,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","14/02/2023 07:59:59,10/03/2023 10:59:59,29/03/2023 05:59:59,20/04/2023 08:59:59","Honestly, I'm exhausted because Biology is confusing for me.",F
1136,saugat11@school.com,Saugat Karki,Ghorahi,10,22,73,0.65,14,Service,Retired,12,12,N,68.04,68,Paid,3,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","15/02/2023 10:59:59,05/03/2023 18:59:59,28/03/2023 21:59:59,19/04/2023 03:59:59","Things are steady, and Chemistry is moving along.",M
1137,shrinkhala7@school.com,Shrinkhala Adhikari,Dharan,9,35,5,1.57,16,Retired,Housewife,IL,PG,Y,91.42,46,Paid,4,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 02:59:59,12/03/2023 20:59:59,29/03/2023 13:59:59,16/04/2023 07:59:59","Lately, I've been distracted because English is stressing me out.",F
1138,priyanka8@school.com,Priyanka Khatiwada,Birgunj,9,85,87,1.43,17,Farmer,Others,12,10,N,92.2,82,Paid,4,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","12/02/2023 15:59:59,11/03/2023 19:59:59,29/03/2023 20:59:59,16/04/2023 15:59:59","Things are neutral, and Physics is part of my routine.",M
1139,namrata9@school.com,Namrata Shah,Butwal,10,84,85,0.94,1,Retired,Service,UM,12,N,90.07,85,Paid,1,4,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","16/02/2023 06:59:59,08/03/2023 22:59:59,30/03/2023 02:59:59,15/04/2023 01:59:59","It's a normal, and Mathematics is taking standard effort.",M
1140,sunil9@school.com,Sunil Thapa,Biratnagar,10,36,17,1.82,9,Retired,Housewife,UM,IL,N,73.89,63,Paid,5,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","15/02/2023 00:59:59,06/03/2023 18:59:59,28/03/2023 15:59:59,19/04/2023 14:59:59","Doing normal, and Chemistry is taking standard effort.",M
1141,swastima13@school.com,Swastima Thapa,Hetauda,9,87,93,1.89,19,Business,Service,PG,10,N,95.08,90,Paid,4,4,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 12:59:59,12/03/2023 19:59:59,28/03/2023 08:59:59,21/04/2023 22:59:59","Currently confident, and Biology is better than I thought.",M
1142,rajesh6@school.com,Rajesh Karki,Butwal,12,3,41,0.66,19,Other,Retired,UM,UM,Y,72.27,96,Paid,5,1,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","15/02/2023 19:59:59,09/03/2023 10:59:59,30/03/2023 03:59:59,19/04/2023 02:59:59",I'm feeling disinterested because Physics is where I'm struggling the most.,M
1143,shrinkhala8@school.com,Shrinkhala Shrestha,Kathmandu,11,18,28,1.2,15,Business,Service,IL,UM,Y,68.17,98,Overdue,1,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","12/02/2023 13:59:59,11/03/2023 00:59:59,31/03/2023 04:59:59,25/04/2023 03:59:59","Lately, I've been burnt out because English is hard to keep up with.",M
1144,saugat12@school.com,Saugat Shrestha,Pokhara,11,85,100,1.93,10,Business,Retired,10,PG,N,85.31,93,Paid,1,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","17/02/2023 14:59:59,10/03/2023 18:59:59,30/03/2023 07:59:59,25/04/2023 03:59:59","Genuinely calm, and Biology is my favorite part of the week.",M
1145,namrata10@school.com,Namrata Hamal,Birgunj,12,98,98,1.47,17,Farmer,Housewife,PG,IL,N,86.89,85,Paid,1,4,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","13/02/2023 21:59:59,11/03/2023 02:59:59,01/04/2023 06:59:59,21/04/2023 03:59:59","Things are stable, and Biology is taking standard effort.",M
1146,sushma12@school.com,Sushma Shrestha,Ghorahi,9,21,21,0.99,17,Retired,Retired,IL,IL,N,61.02,15,Overdue,4,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 19:59:59,14/03/2023 18:59:59,28/03/2023 00:59:59,17/04/2023 11:59:59","Lately, I've been isolated because English is confusing for me.",M
1147,nischal9@school.com,Nischal Basnet,Pokhara,9,82,5,1.35,9,Retired,Housewife,Degree,10,N,76.16,85,Paid,1,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 01:59:59,13/03/2023 21:59:59,26/03/2023 20:59:59,15/04/2023 06:59:59","Doing stable, and Physics is part of my routine.",M
1148,priyanka9@school.com,Priyanka Pathak,Janakpur,11,85,88,0.5,14,Service,Business,UM,10,N,92.23,85,Paid,2,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","11/02/2023 08:59:59,08/03/2023 00:59:59,04/04/2023 13:59:59,24/04/2023 10:59:59","I'm feeling alright, and Biology is following the plan.",F
1149,anmol6@school.com,Anmol KC,Biratnagar,12,99,50,1.79,2,Retired,Others,10,Degree,N,60.7,94,Paid,3,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","17/02/2023 05:59:59,07/03/2023 16:59:59,27/03/2023 01:59:59,18/04/2023 22:59:59","Lately, I've been unmotivated because Chemistry is stressing me out.",M
1150,namrata11@school.com,Namrata Gurung,Ghorahi,9,92,31,1.59,7,Retired,Housewife,10,10,Y,65.09,84,Paid,2,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","14/02/2023 07:59:59,11/03/2023 08:59:59,01/04/2023 17:59:59,16/04/2023 17:59:59",I'm feeling very tired because Nepali is taking up all my energy.,F
1151,shilpa9@school.com,Shilpa Karki,Dhangadhi,11,89,51,1.92,18,Business,Retired,UM,UM,Y,60.33,18,Paid,2,10,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","19/02/2023 08:59:59,19/03/2023 20:59:59,11/04/2023 12:59:59,29/04/2023 02:59:59","Honestly, I'm disinterested because Biology is causing me some anxiety.",F
1152,keki8@school.com,Keki Karki,Butwal,11,39,78,1.08,14,Service,Service,UM,Degree,N,74.51,3,Overdue,4,2,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","14/02/2023 23:59:59,10/03/2023 18:59:59,30/03/2023 00:59:59,25/04/2023 15:59:59","To be fair, I'm low because Biology is confusing for me.",M
1153,arpan9@school.com,Arpan Basnet,Biratnagar,12,81,67,1.42,15,Service,Business,Degree,10,Y,92.68,39,Overdue,1,2,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","18/02/2023 14:59:59,07/03/2023 13:59:59,28/03/2023 16:59:59,20/04/2023 20:59:59","Honestly, I'm unmotivated because Mathematics is causing me some anxiety.",M
1154,keki9@school.com,Keki Adhikari,Itahari,10,26,55,1.56,14,Other,Others,UM,UM,N,97.9,76,Paid,2,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","15/02/2023 20:59:59,08/03/2023 03:59:59,31/03/2023 06:59:59,20/04/2023 09:59:59","Mostly neutral, and Mathematics is part of my routine.",F
1155,shilpa10@school.com,Shilpa Raut,Ghorahi,9,87,70,1.2,13,Business,Housewife,IL,12,Y,54.3,30,Overdue,4,7,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","19/02/2023 04:59:59,21/03/2023 11:59:59,05/04/2023 18:59:59,02/05/2023 20:59:59","To be fair, I'm exhausted because English is causing me some anxiety.",F
1156,barsha4@school.com,Barsha Magar,Bharatpur,10,61,59,0.11,16,Business,Business,PG,PG,Y,63.38,6,Paid,1,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","15/02/2023 23:59:59,07/03/2023 22:59:59,27/03/2023 09:59:59,21/04/2023 16:59:59",I'm feeling very tired because Chemistry is causing me some anxiety.,F
1157,anmol7@school.com,Anmol Khadka,Hetauda,9,87,14,1.98,10,Retired,Others,12,PG,N,85.58,65,Paid,1,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","11/02/2023 15:59:59,14/03/2023 07:59:59,30/03/2023 08:59:59,16/04/2023 19:59:59","I'm feeling alright, and Biology is part of my routine.",M
1158,anmol8@school.com,Anmol Tamang,Janakpur,12,78,65,0.88,15,Retired,Service,UM,Degree,Y,55.23,21,Paid,5,10,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","24/02/2023 15:59:59,18/03/2023 10:59:59,10/04/2023 08:59:59,27/04/2023 00:59:59","Honestly, I'm exhausted because Mathematics is too much right now.",M
1159,sushma13@school.com,Sushma Khadka,Biratnagar,12,99,95,0.36,17,Farmer,Business,UM,PG,N,87.39,95,Paid,2,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","14/02/2023 19:59:59,11/03/2023 18:59:59,30/03/2023 05:59:59,17/04/2023 04:59:59","Feeling motivated, and Mathematics is going well.",F
1160,anmol9@school.com,Anmol Adhikari,Janakpur,9,35,77,1.11,17,Service,Housewife,PG,IL,N,66.92,81,Paid,4,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","12/02/2023 23:59:59,10/03/2023 22:59:59,31/03/2023 23:59:59,15/04/2023 10:59:59","It's a neutral, and Physics is taking standard effort.",F
